Source,Target,Type,Id,Label,Weight
CHEK2,TTLL7,Undirected,91479,,1
CHEK2,KIF11,Undirected,91481,,1
CHEK2,TOPBP1,Undirected,91482,,1
CHEK2,BARD1,Undirected,91483,,1
CHEK2,CDK17,Undirected,91484,,1
CHEK2,SNCAIP,Undirected,91488,,1
CHEK2,UBE2K,Undirected,91489,,1
CHEK2,PPP2R5A,Undirected,91490,,1
CHEK2,MIB1,Undirected,91491,,1
CHEK2,HERC2,Undirected,91494,,1
CHEK2,SLC6A4,Undirected,91496,,1
CHEK2,PDGFRB,Undirected,91500,,1
CHEK2,DAPK2,Undirected,91502,,1
CHEK2,PIK3C3,Undirected,91504,,1
CHEK2,MCM4,Undirected,91505,,1
CHEK2,RBL2,Undirected,91506,,1
CHEK2,SMAD2,Undirected,91508,,1
CHEK2,KMT2C,Undirected,91509,,1
CHEK2,TRPA1,Undirected,91510,,1
CHEK2,YY1,Undirected,91511,,1
CHEK2,PKMYT1,Undirected,91512,,1
CHEK2,LMF1,Undirected,91513,,1
CHEK2,AXIN1,Undirected,91516,,1
CHEK2,CREBBP,Undirected,91517,,1
CHEK2,CHD5,Undirected,91518,,1
CHEK2,CSNK2A2,Undirected,91521,,1
CHEK2,SETD1A,Undirected,91523,,1
CHEK2,CCNE1,Undirected,91525,,1
CHEK2,CDKN2C,Undirected,91526,,1
CHEK2,ACIN1,Undirected,91527,,1
CHEK2,PHLPP1,Undirected,91528,,1
CHEK2,PRKX,Undirected,91533,,1
CHEK2,HACE1,Undirected,91535,,1
CHEK2,E2F3,Undirected,91536,,1
CHEK2,MAP2K2,Undirected,91537,,1
CHEK2,MAP3K8,Undirected,91540,,1
CHEK2,MTPAP,Undirected,91541,,1
CHEK2,SMG6,Undirected,91543,,1
CHEK2,SMARCB1,Undirected,91545,,1
CHEK2,HIRA,Undirected,91548,,1
CHEK2,PPM1F,Undirected,91549,,1
CHEK2,EP300,Undirected,91550,,1
CHEK2,DESI1,Undirected,91551,,1
CHEK2,PLEKHA4,Undirected,91552,,1
CHEK2,BRD4,Undirected,91557,,1
CHEK2,NOTCH3,Undirected,91559,,1
CHEK2,BIRC3,Undirected,91561,,1
CHEK2,ENSG00000115239,Undirected,91562,,1
CHEK2,TANC1,Undirected,91563,,1
CHEK2,KAT2B,Undirected,91567,,1
CHEK2,KIF1B,Undirected,91571,,1
CHEK2,STK17B,Undirected,91572,,1
CHEK2,TUBB4A,Undirected,91577,,1
CHEK2,ATF2,Undirected,91578,,1
CHEK2,MCM6,Undirected,91580,,1
CHEK2,ALS2,Undirected,91583,,1
CHEK2,YWHAE,Undirected,91584,,1
CHEK2,CUL3,Undirected,91587,,1
CHEK2,RBBP5,Undirected,91589,,1
CHEK2,UBE2S,Undirected,91590,,1
CHEK2,HDAC4,Undirected,91592,,1
CHEK2,ASB1,Undirected,91593,,1
CHEK2,ANKRD32,Undirected,91605,,1
CHEK2,CENPE,Undirected,91606,,1
CHEK2,POLB,Undirected,91610,,1
CHEK2,WNT2,Undirected,91612,,1
CHEK2,USP4,Undirected,91614,,1
CHEK2,CHKA,Undirected,91616,,1
CHEK2,ANK1,Undirected,91617,,1
