Source,Target,Type,Id,Label,Weight
MYC,CFTR,Undirected,93212,,1
MYC,CD4,Undirected,93225,,1
MYC,GABARAPL2,Undirected,93232,,1
MYC,RFC2,Undirected,93241,,1
MYC,NNAT,Undirected,93243,,1
MYC,YIPF1,Undirected,93245,,1
MYC,HDAC7,Undirected,93248,,1
MYC,KDM4B,Undirected,93254,,1
MYC,YTHDC2,Undirected,93256,,1
MYC,TMEM161A,Undirected,93257,,1
MYC,TNFRSF1A,Undirected,93258,,1
MYC,GOLGA5,Undirected,93259,,1
MYC,TRIP13,Undirected,93262,,1
MYC,HEATR6,Undirected,93278,,1
MYC,RRN3,Undirected,93279,,1
MYC,DIMT1,Undirected,93280,,1
MYC,ZW10,Undirected,93282,,1
MYC,SIRT4,Undirected,93289,,1
MYC,TRMT6,Undirected,93290,,1
MYC,CEBPE,Undirected,93298,,1
MYC,PSMD5,Undirected,93305,,1
MYC,VCL,Undirected,93309,,1
MYC,SIRT1,Undirected,93310,,1
MYC,TECR,Undirected,93314,,1
MYC,GADD45B,Undirected,93316,,1
MYC,MMP11,Undirected,93319,,1
MYC,SF3A1,Undirected,93322,,1
MYC,LGALS1,Undirected,93326,,1
MYC,CENPM,Undirected,93328,,1
MYC,HSCB,Undirected,93329,,1
MYC,TOMM22,Undirected,93330,,1
MYC,HMOX1,Undirected,93333,,1
MYC,CBX7,Undirected,93335,,1
MYC,RBX1,Undirected,93344,,1
MYC,L3MBTL2,Undirected,93345,,1
MYC,SUPT16H,Undirected,93350,,1
MYC,ALKBH1,Undirected,93358,,1
MYC,ZFYVE21,Undirected,93363,,1
MYC,MTHFD1,Undirected,93364,,1
MYC,APEX1,Undirected,93366,,1
MYC,PABPN1,Undirected,93367,,1
MYC,AURKA,Undirected,93373,,1
MYC,AHCY,Undirected,93382,,1
MYC,ACOT8,Undirected,93383,,1
MYC,STAG2,Undirected,93389,,1
MYC,ABCD1,Undirected,93390,,1
MYC,NTHL1,Undirected,93395,,1
MYC,ZNF263,Undirected,93396,,1
MYC,MMP2,Undirected,93397,,1
MYC,ORC6,Undirected,93398,,1
MYC,NUTF2,Undirected,93400,,1
MYC,ARL2BP,Undirected,93401,,1
MYC,POLR2C,Undirected,93405,,1
MYC,TSC2,Undirected,93409,,1
MYC,TOX3,Undirected,93413,,1
MYC,MGA,Undirected,93416,,1
MYC,BRF2,Undirected,93424,,1
MYC,GSR,Undirected,93431,,1
MYC,HNRNPL,Undirected,93436,,1
MYC,RNASEH2A,Undirected,93440,,1
MYC,AMH,Undirected,93441,,1
MYC,CLC,Undirected,93446,,1
MYC,TGFB1,Undirected,93447,,1
MYC,PLIN3,Undirected,93448,,1
MYC,CRX,Undirected,93451,,1
MYC,RPL18A,Undirected,93455,,1
MYC,RAB3A,Undirected,93457,,1
MYC,USF2,Undirected,93459,,1
MYC,BET1,Undirected,93465,,1
MYC,LFNG,Undirected,93473,,1
MYC,TSPAN12,Undirected,93475,,1
MYC,AIMP2,Undirected,93480,,1
MYC,RPA3,Undirected,93482,,1
MYC,SETX,Undirected,93490,,1
MYC,DHX33,Undirected,93496,,1
MYC,SUPT4H1,Undirected,93499,,1
MYC,MED31,Undirected,93508,,1
MYC,DDX5,Undirected,93509,,1
MYC,COL1A1,Undirected,93512,,1
MYC,TMEM97,Undirected,93520,,1
MYC,GNRHR,Undirected,93528,,1
MYC,CCND1,Undirected,93534,,1
MYC,CCDC86,Undirected,93535,,1
MYC,PRPF19,Undirected,93536,,1
MYC,SART3,Undirected,93541,,1
MYC,RAD51AP1,Undirected,93551,,1
MYC,CDKN1B,Undirected,93552,,1
MYC,MGP,Undirected,93554,,1
MYC,CNOT2,Undirected,93558,,1
MYC,GAPDH,Undirected,93559,,1
MYC,AICDA,Undirected,93566,,1
MYC,SRSF9,Undirected,93568,,1
MYC,FBXO5,Undirected,93571,,1
MYC,STK38,Undirected,93573,,1
MYC,GMNN,Undirected,93574,,1
MYC,BYSL,Undirected,93575,,1
MYC,SKIV2L2,Undirected,93579,,1
MYC,PAPD7,Undirected,93582,,1
MYC,LOX,Undirected,93584,,1
MYC,NR3C1,Undirected,93591,,1
MYC,HES1,Undirected,93602,,1
MYC,MAPRE3,Undirected,93605,,1
MYC,MOGS,Undirected,93611,,1
MYC,PCGF1,Undirected,93612,,1
MYC,PPP3R1,Undirected,93626,,1
MYC,ENO1,Undirected,93629,,1
MYC,BCL9,Undirected,93630,,1
MYC,MAD2L2,Undirected,93632,,1
MYC,PRDM2,Undirected,93634,,1
MYC,TTR,Undirected,93644,,1
MYC,TBPL1,Undirected,93645,,1
MYC,RPN2,Undirected,93646,,1
MYC,ELL2,Undirected,93650,,1
MYC,CPSF3,Undirected,93652,,1
MYC,TARDBP,Undirected,93671,,1
MYC,COIL,Undirected,93673,,1
MYC,TBX2,Undirected,93674,,1
MYC,TBX4,Undirected,93675,,1
MYC,NCAPH,Undirected,93676,,1
MYC,TSHZ3,Undirected,93677,,1
MYC,ZC3HAV1,Undirected,93694,,1
MYC,UNG,Undirected,93697,,1
MYC,DDX39A,Undirected,93699,,1
MYC,HOXC13,Undirected,93700,,1
MYC,NMI,Undirected,93704,,1
MYC,ACVR1C,Undirected,93705,,1
MYC,SNRPA,Undirected,93707,,1
MYC,ZNF350,Undirected,93708,,1
MYC,HIST1H1D,Undirected,93717,,1
MYC,HIST1H1A,Undirected,93719,,1
MYC,APOBEC2,Undirected,93720,,1
MYC,ATXN1,Undirected,93722,,1
MYC,NUP85,Undirected,93735,,1
MYC,CST8,Undirected,93743,,1
MYC,MKKS,Undirected,93744,,1
MYC,UBA2,Undirected,93750,,1
MYC,KRT13,Undirected,93751,,1
MYC,SBDS,Undirected,93756,,1
MYC,DLGAP5,Undirected,93762,,1
MYC,TBPL2,Undirected,93763,,1
MYC,KIF17,Undirected,93768,,1
MYC,GFER,Undirected,93770,,1
MYC,LRFN1,Undirected,93776,,1
MYC,SGSM3,Undirected,93777,,1
MYC,LSM8,Undirected,93783,,1
MYC,OPN1SW,Undirected,93785,,1
MYC,HOXD10,Undirected,93787,,1
MYC,PIAS1,Undirected,93788,,1
MYC,KNSTRN,Undirected,93791,,1
MYC,MBD4,Undirected,93792,,1
MYC,NEDD8,Undirected,93802,,1
MYC,TUBG1,Undirected,93810,,1
MYC,NCAPG,Undirected,93812,,1
MYC,DHX29,Undirected,93813,,1
MYC,DHX58,Undirected,93814,,1
MYC,TSG101,Undirected,93819,,1
MYC,TRPC4AP,Undirected,93820,,1
MYC,DGCR14,Undirected,93821,,1
MYC,ALLC,Undirected,93829,,1
MYC,LSM7,Undirected,93833,,1
MYC,MLLT1,Undirected,93834,,1
MYC,ATXN10,Undirected,93840,,1
MYC,HBZ,Undirected,93841,,1
MYC,CEP85,Undirected,93843,,1
MYC,EIF2S3,Undirected,93847,,1
MYC,PPAN,Undirected,93850,,1
MYC,GRWD1,Undirected,93851,,1
MYC,NOL11,Undirected,93852,,1
MYC,RBM39,Undirected,93853,,1
MYC,ZFYVE20,Undirected,93855,,1
MYC,ACLY,Undirected,93858,,1
MYC,VPS25,Undirected,93859,,1
MYC,KRT15,Undirected,93864,,1
MYC,RARA,Undirected,93865,,1
MYC,RHPN2,Undirected,93871,,1
MYC,ACTR10,Undirected,93872,,1
MYC,RPA1,Undirected,93880,,1
MYC,GRSF1,Undirected,93881,,1
MYC,DPH2,Undirected,93894,,1
MYC,HSPBP1,Undirected,93900,,1
MYC,MACROD1,Undirected,93901,,1
MYC,MED10,Undirected,93903,,1
MYC,CCNB1,Undirected,93915,,1
MYC,BHLHE40,Undirected,93920,,1
MYC,SORT1,Undirected,93925,,1
MYC,ZCCHC11,Undirected,93937,,1
MYC,CEP135,Undirected,93941,,1
MYC,ADAM19,Undirected,93945,,1
MYC,NAT10,Undirected,93956,,1
MYC,RAB11FIP5,Undirected,93963,,1
MYC,TAF5L,Undirected,93966,,1
MYC,USP37,Undirected,93969,,1
MYC,EIF4E2,Undirected,93972,,1
MYC,REV1,Undirected,93974,,1
MYC,TMEM127,Undirected,93975,,1
MYC,ALDH1L2,Undirected,93977,,1
MYC,USP44,Undirected,93978,,1
MYC,DRAM1,Undirected,93979,,1
MYC,IGF2BP3,Undirected,93980,,1
MYC,DDX56,Undirected,93982,,1
MYC,TTC5,Undirected,93984,,1
MYC,SRSF1,Undirected,93987,,1
MYC,DERL1,Undirected,93995,,1
MYC,GTF2H4,Undirected,94002,,1
MYC,GGH,Undirected,94006,,1
MYC,SULF1,Undirected,94007,,1
MYC,USP2,Undirected,94009,,1
MYC,POU2F3,Undirected,94013,,1
MYC,GCHFR,Undirected,94021,,1
MYC,HECW2,Undirected,94031,,1
MYC,WDR12,Undirected,94032,,1
MYC,MNAT1,Undirected,94038,,1
MYC,PSMC1,Undirected,94041,,1
MYC,LMNB1,Undirected,94044,,1
