9606.ENSP00000478255
9606.ENSP00000485659
9606.ENSP00000484824
9606.ENSP00000483537
9606.ENSP00000483430
9606.ENSP00000480791
9606.ENSP00000480043
9606.ENSP00000479618
9606.ENSP00000478570
9606.ENSP00000474412
9606.ENSP00000472929
9606.ENSP00000457421
9606.ENSP00000454157
9606.ENSP00000451828
9606.ENSP00000451040
9606.ENSP00000449404
9606.ENSP00000447173
9606.ENSP00000446252
9606.ENSP00000446007
9606.ENSP00000442656
9606.ENSP00000441765
9606.ENSP00000441065
9606.ENSP00000437955
9606.ENSP00000433138
9606.ENSP00000432218
9606.ENSP00000431418
9606.ENSP00000430950
9606.ENSP00000428056
9606.ENSP00000426568
9606.ENSP00000425556
9606.ENSP00000421801
9606.ENSP00000418960
9606.ENSP00000418915
9606.ENSP00000417498
9606.ENSP00000417480
9606.ENSP00000417222
9606.ENSP00000416750
9606.ENSP00000416293
9606.ENSP00000416066
9606.ENSP00000414856
9606.ENSP00000414287
9606.ENSP00000413720
9606.ENSP00000412237
9606.ENSP00000411532
9606.ENSP00000410402
9606.ENSP00000410294
9606.ENSP00000409544
9606.ENSP00000409007
9606.ENSP00000408695
9606.ENSP00000408617
9606.ENSP00000407586
9606.ENSP00000406861
9606.ENSP00000406046
9606.ENSP00000405573
9606.ENSP00000404854
9606.ENSP00000400175
9606.ENSP00000399888
9606.ENSP00000399421
9606.ENSP00000398698
9606.ENSP00000398632
9606.ENSP00000393312
9606.ENSP00000391826
9606.ENSP00000388648
9606.ENSP00000388510
9606.ENSP00000387699
9606.ENSP00000387435
9606.ENSP00000386896
9606.ENSP00000386884
9606.ENSP00000386759
9606.ENSP00000385706
9606.ENSP00000385675
9606.ENSP00000385269
9606.ENSP00000384849
9606.ENSP00000384620
9606.ENSP00000384262
9606.ENSP00000383232
9606.ENSP00000382941
9606.ENSP00000382800
9606.ENSP00000382628
9606.ENSP00000382423
9606.ENSP00000382342
9606.ENSP00000382004
9606.ENSP00000381185
9606.ENSP00000381008
9606.ENSP00000380432
9606.ENSP00000380034
9606.ENSP00000380008
9606.ENSP00000379975
9606.ENSP00000379472
9606.ENSP00000379350
9606.ENSP00000379140
9606.ENSP00000379138
9606.ENSP00000379110
9606.ENSP00000379097
9606.ENSP00000379092
9606.ENSP00000379038
9606.ENSP00000378974
9606.ENSP00000378517
9606.ENSP00000377508
9606.ENSP00000377492
9606.ENSP00000377456
9606.ENSP00000377424
9606.ENSP00000377061
9606.ENSP00000376943
9606.ENSP00000376753
9606.ENSP00000375892
9606.ENSP00000375795
9606.ENSP00000372313
9606.ENSP00000372221
9606.ENSP00000372088
9606.ENSP00000372023
9606.ENSP00000371798
9606.ENSP00000371475
9606.ENSP00000371067
9606.ENSP00000370473
9606.ENSP00000370421
9606.ENSP00000370408
9606.ENSP00000369643
9606.ENSP00000369519
9606.ENSP00000369497
9606.ENSP00000369071
9606.ENSP00000368458
9606.ENSP00000368104
9606.ENSP00000367910
9606.ENSP00000367830
9606.ENSP00000367608
9606.ENSP00000367202
9606.ENSP00000365016
9606.ENSP00000364802
9606.ENSP00000364212
9606.ENSP00000364210
9606.ENSP00000364133
9606.ENSP00000363804
9606.ENSP00000363591
9606.ENSP00000363512
9606.ENSP00000363081
9606.ENSP00000362716
9606.ENSP00000362680
9606.ENSP00000362649
9606.ENSP00000362299
9606.ENSP00000362108
9606.ENSP00000362082
9606.ENSP00000361850
9606.ENSP00000361405
9606.ENSP00000361151
9606.ENSP00000361107
9606.ENSP00000361066
9606.ENSP00000361021
9606.ENSP00000360269
9606.ENSP00000360266
9606.ENSP00000360242
9606.ENSP00000360025
9606.ENSP00000359532
9606.ENSP00000359424
9606.ENSP00000359211
9606.ENSP00000359013
9606.ENSP00000358813
9606.ENSP00000358794
9606.ENSP00000358470
9606.ENSP00000358327
9606.ENSP00000358081
9606.ENSP00000358022
9606.ENSP00000357709
9606.ENSP00000357705
9606.ENSP00000357697
9606.ENSP00000357643
9606.ENSP00000357625
9606.ENSP00000357470
9606.ENSP00000357206
9606.ENSP00000356694
9606.ENSP00000356438
9606.ENSP00000356331
9606.ENSP00000356213
9606.ENSP00000356162
9606.ENSP00000356042
9606.ENSP00000355896
9606.ENSP00000355759
9606.ENSP00000355330
9606.ENSP00000355231
9606.ENSP00000355124
9606.ENSP00000354558
9606.ENSP00000354532
9606.ENSP00000354522
9606.ENSP00000354487
9606.ENSP00000354394
9606.ENSP00000354207
9606.ENSP00000353770
9606.ENSP00000353198
9606.ENSP00000353025
9606.ENSP00000352516
9606.ENSP00000352157
