Source,Target,Type,Id,Label,Weight
CHEK2,ABTB1,Undirected,91341,,1
CHEK2,EIF1B,Undirected,91342,,1
CHEK2,MAPRE3,Undirected,91343,,1
CHEK2,MSH2,Undirected,91344,,1
CHEK2,TFPI,Undirected,91345,,1
CHEK2,PPP1R7,Undirected,91346,,1
CHEK2,ORC2,Undirected,91347,,1
CHEK2,MSH6,Undirected,91348,,1
CHEK2,MAD2L2,Undirected,91349,,1
CHEK2,ABCG2,Undirected,91350,,1
CHEK2,CCNI,Undirected,91351,,1
CHEK2,GSC,Undirected,91352,,1
CHEK2,ADCK1,Undirected,91353,,1
CHEK2,NEK9,Undirected,91354,,1
CHEK2,ATAD2B,Undirected,91355,,1
CHEK2,DUSP1,Undirected,91356,,1
CHEK2,PRRX1,Undirected,91357,,1
CHEK2,EGR1,Undirected,91358,,1
CHEK2,NFYB,Undirected,91359,,1
CHEK2,DUSP4,Undirected,91360,,1
CHEK2,TBX2,Undirected,91361,,1
CHEK2,NCAPH,Undirected,91362,,1
CHEK2,MND1,Undirected,91363,,1
CHEK2,CAT,Undirected,91364,,1
CHEK2,TNFSF10,Undirected,91365,,2
CHEK2,POLK,Undirected,91366,,1
CHEK2,FLT3,Undirected,91367,,1
CHEK2,EEPD1,Undirected,91368,,1
CHEK2,TWIST1,Undirected,91369,,1
CHEK2,UNG,Undirected,91370,,1
CHEK2,RIF1,Undirected,91371,,1
CHEK2,TNFAIP6,Undirected,91372,,1
CHEK2,ACVR1C,Undirected,91373,,1
CHEK2,ZNF350,Undirected,91374,,1
CHEK2,PI3,Undirected,91375,,1
CHEK2,PLCG1,Undirected,91376,,1
CHEK2,SRSF6,Undirected,91377,,1
CHEK2,SNAI1,Undirected,91378,,2
CHEK2,SNRPC,Undirected,91379,,1
CHEK2,HIST1H1D,Undirected,91380,,1
CHEK2,HIST1H4F,Undirected,91381,,1
CHEK2,HIST1H1A,Undirected,91382,,1
CHEK2,OR2B6,Undirected,91383,,1
CHEK2,PIWIL1,Undirected,91384,,1
CHEK2,INSIG2,Undirected,91385,,1
CHEK2,THOC2,Undirected,91386,,1
CHEK2,CDC25B,Undirected,91387,,1
CHEK2,DSTN,Undirected,91388,,1
CHEK2,SBDS,Undirected,91389,,1
CHEK2,DLGAP5,Undirected,91390,,1
CHEK2,HELB,Undirected,91391,,1
CHEK2,KIF17,Undirected,91392,,1
CHEK2,TUBA4A,Undirected,91393,,1
CHEK2,HSPB1,Undirected,91394,,1
CHEK2,STYXL1,Undirected,91395,,1
CHEK2,YWHAH,Undirected,91396,,1
CHEK2,SIRT2,Undirected,91397,,1
CHEK2,PIAS1,Undirected,91398,,1
CHEK2,ALDH1A2,Undirected,91399,,1
CHEK2,BCL2L2,Undirected,91400,,1
CHEK2,PARP2,Undirected,91401,,1
CHEK2,FOXA1,Undirected,91402,,1
CHEK2,NEDD8,Undirected,91403,,1
CHEK2,CDADC1,Undirected,91404,,1
CHEK2,SLX1A,Undirected,91405,,1
CHEK2,MAST1,Undirected,91406,,1
CHEK2,NCAPG,Undirected,91407,,1
CHEK2,RRM2B,Undirected,91408,,1
CHEK2,RAF1,Undirected,91409,,2
CHEK2,DGCR14,Undirected,91410,,1
CHEK2,KRT5,Undirected,91411,,1
CHEK2,ZSCAN10,Undirected,91412,,1
CHEK2,GADD45G,Undirected,91413,,1
CHEK2,LAMA5,Undirected,91414,,1
CHEK2,UBE2M,Undirected,91415,,1
CHEK2,TRIM28,Undirected,91416,,1
CHEK2,SESN2,Undirected,91417,,1
CHEK2,HIP1R,Undirected,91418,,1
CHEK2,GINS2,Undirected,91419,,1
CHEK2,TNS4,Undirected,91420,,1
CHEK2,RARA,Undirected,91421,,1
CHEK2,HGNC:9982,Undirected,91422,,1
CHEK2,SMARCC1,Undirected,91423,,1
CHEK2,ILKAP,Undirected,91424,,1
CHEK2,PER2,Undirected,91425,,1
CHEK2,RPA1,Undirected,91426,,1
CHEK2,H3F3B,Undirected,91427,,1
CHEK2,KDM6B,Undirected,91428,,1
CHEK2,BRD8,Undirected,91429,,1
CHEK2,TERF2,Undirected,91430,,1
CHEK2,IGHMBP2,Undirected,91431,,1
CHEK2,NASP,Undirected,91432,,1
CHEK2,PDE6A,Undirected,91433,,1
CHEK2,CCNA1,Undirected,91434,,1
CHEK2,SUV420H2,Undirected,91435,,1
CHEK2,CSNK1G2,Undirected,91436,,1
CHEK2,PI4KA,Undirected,91437,,1
CHEK2,KRAS,Undirected,91438,,2
CHEK2,DUSP26,Undirected,91439,,1
CHEK2,EIF2S1,Undirected,91440,,1
CHEK2,CCNB1,Undirected,91441,,1
CHEK2,CDK7,Undirected,91442,,1
CHEK2,CAMK1,Undirected,91443,,1
CHEK2,VHL,Undirected,91444,,1
CHEK2,GSTM3,Undirected,91445,,1
CHEK2,NOTCH2,Undirected,91446,,1
CHEK2,ARF3,Undirected,91447,,1
CHEK2,KIDINS220,Undirected,91448,,1
CHEK2,CMPK2,Undirected,91449,,1
CHEK2,CCNH,Undirected,91450,,1
CHEK2,DOCK2,Undirected,91451,,1
CHEK2,DDB2,Undirected,91452,,1
CHEK2,ZCCHC11,Undirected,91453,,1
CHEK2,PDGFRA,Undirected,91454,,1
CHEK2,RINT1,Undirected,91455,,1
CHEK2,ORC3,Undirected,91456,,1
CHEK2,LMO2,Undirected,91457,,1
CHEK2,CDK4,Undirected,91458,,1
CHEK2,ESPL1,Undirected,91459,,1
CHEK2,SMPD2,Undirected,91460,,1
CHEK2,MDM2,Undirected,91461,,1
CHEK2,TAF5L,Undirected,91462,,1
CHEK2,LAMC1,Undirected,91463,,1
CHEK2,REV1,Undirected,91464,,1
CHEK2,HUS1,Undirected,91465,,1
CHEK2,MYO1G,Undirected,91466,,1
CHEK2,TTC5,Undirected,91467,,1
CHEK2,SRSF1,Undirected,91468,,1
CHEK2,BRIP1,Undirected,91469,,2
CHEK2,KAT7,Undirected,91470,,1
CHEK2,MARCH7,Undirected,91471,,1
CHEK2,RNF38,Undirected,91472,,1
CHEK2,KIF13A,Undirected,91473,,1
CHEK2,TTBK1,Undirected,91474,,1
CHEK2,POU5F1,Undirected,91475,,1
CHEK2,PRKRIR,Undirected,91476,,1
