9606.ENSP00000355124
9606.ENSP00000355896
9606.ENSP00000356694
9606.ENSP00000357705
9606.ENSP00000358813
9606.ENSP00000359211
9606.ENSP00000361405
9606.ENSP00000361850
9606.ENSP00000362680
9606.ENSP00000364133
9606.ENSP00000241261
9606.ENSP00000367910
9606.ENSP00000242109
9606.ENSP00000369497
9606.ENSP00000370408
9606.ENSP00000372023
9606.ENSP00000372221
9606.ENSP00000372313
9606.ENSP00000244050
9606.ENSP00000375892
9606.ENSP00000377424
9606.ENSP00000379140
9606.ENSP00000379472
9606.ENSP00000380034
9606.ENSP00000381185
9606.ENSP00000382628
9606.ENSP00000384849
9606.ENSP00000385675
9606.ENSP00000386884
9606.ENSP00000398632
9606.ENSP00000398698
9606.ENSP00000406046
9606.ENSP00000407586
9606.ENSP00000412237
9606.ENSP00000416293
9606.ENSP00000416750
9606.ENSP00000417498
9606.ENSP00000418915
9606.ENSP00000418960
9606.ENSP00000251849
9606.ENSP00000425556
9606.ENSP00000432218
9606.ENSP00000437955
9606.ENSP00000442656
9606.ENSP00000451828
9606.ENSP00000254301
9606.ENSP00000176195
9606.ENSP00000478570
9606.ENSP00000479618
9606.ENSP00000480043
9606.ENSP00000256010
9606.ENSP00000256078
9606.ENSP00000483537
9606.ENSP00000484824
9606.ENSP00000485659
9606.ENSP00000259008
9606.ENSP00000260227
9606.ENSP00000260356
9606.ENSP00000261584
9606.ENSP00000261769
9606.ENSP00000273375
